ID;Bezeichner;Gehäuse;Stückzahl;Bezeichnung;Hersteller;Hersteller-Teilenummer;Mouser-Bestellnummer;Digikey-Bestellnummer;Preis Mouser;;Preis Digikey;;Datenblatt
;Identifier;Case;Pieces;Description;Manufacturer;Manufacturer part number;Mouser part number;Digikey part number;Costs Mouser;;Costs Digikey;;Datasheet
1;IC1;SSOP-28;1;USB-IC USB 2.0 4-Port Hub;Exar;XR22404CG28TR-F;701-XR22404CG28TR-F;nA; 2,02 € ; 2,02 € ;; -   € ;http://www.mouser.com/ds/2/146/XR22404-1006299.pdf
2;J1;USB B;1;USB_B_WE;Wurth;61400416121;710-61400416121;732-2108-ND; 1,20 € ; 1,20 € ; 1,20 € ; 1,20 € ;http://katalog.we-online.de/em/datasheet/61400416121.pdf
3;J6,J7,J8,J9;USB A;4;USB_A_shielded;Wurth;614004160211;710-614004160211;732-8248-ND; 1,50 € ; 6,00 € ; 1,48 € ; 5,92 € ;http://www.mouser.com/ds/2/445/wurth_08212017_614004160211-1140386.pdf
4;C1,C3,C5;SMD 0805;3;100nF;Wurth;885012207072;710-885012207072;732-8061-1-ND; 0,06 € ; 0,18 € ; 0,09 € ; 0,27 € ;
5;C2,C4;SMD 0805;2;4,7µF;Vishay;VJ0805G475KXYTW1BC;77-VJ0805G475KXYTBC;-; 0,09 € ; 0,17 € ;; -   € ;
;;;;;Taiyo;TMK212BJ475KG-T;-;587-1782-1-ND;;; 0,24 € ; 0,48 € ;
6;C6,C7,C8,C9,C10,C11,C12,C13;SMD 0805;8;680nF;Kemet;C0805C684K4RACTU;80-C0805C684K4R;399-9267-1-ND; 0,17 € ; 1,36 € ; 0,17 € ; 1,36 € ;
7;F1;SMD 1206;1;Polyfuse;Eaton;PTS120615V050;504-PTS120615V050;283-3140-1-ND; 0,26 € ; 0,26 € ; 0,27 € ; 0,27 € ;
8;FL1,FL2,FL3,FL4,FL5;1206;5;EMI Common Mode Filter;Wurth;744232090;710-744232090;732-1469-1-ND; 1,12 € ; 5,60 € ; 1,12 € ; 5,60 € ;http://www.mouser.com/ds/2/445/744232090-538468.pdf
9;L1,L2,L3,L4;SMD 0805;4;600R@100MHz;Wurth;74279204;710-74279204;732-1620-1-ND; 0,19 € ; 0,76 € ; 0,20 € ; 0,80 € ;http://www.mouser.com/ds/2/445/74279204-538332.pdf
10;R1,R2,R10;SMD 0805;3;2k7;Vishay;CRCW08052K70JNEA;71-CRCW08052K70JNEA;541-2.7KACT-ND; 0,09 € ; 0,26 € ; 0,08 € ; 0,24 € ;
11;R3;SMD 0805;1;470;Panasonic;ERJ-U06F4700V;667-ERJ-U06F4700V;-; 0,23 € ; 0,23 € ;; -   € ;
;;;;;Bourns;CR0805-FX-4700ELF;-;CR0805-FX-4700ELFCT-ND;;; 0,08 € ; 0,08 € ;
12;R4;SMD 0805;1;40k2;Vishay;CRCW080540K2FKEA;71-CRCW0805-40.2K-E3;541-40.2KCCT-ND; 0,09 € ; 0,09 € ; 0,08 € ; 0,08 € ;
13;R5,R8,R9;SMD 0805;3;10k;Yageo;RC0805FR-0710KL;603-RC0805FR-0710KL;311-10.0KCRCT-ND; 0,09 € ; 0,26 € ; 0,08 € ; 0,24 € ;
14;R6;SMD 0805;1;0;Yageo;RC0805JR-070RL;603-RC0805JR-070RL;311-0.0ARCT-ND; 0,09 € ; 0,09 € ; 0,08 € ; 0,08 € ;
15;R7;SMD 0805;1;100k;Yageo;RC0805FR-07100KL;603-RC0805FR-07100KL;311-100KCRCT-ND; 0,09 € ; 0,09 € ; 0,08 € ; 0,08 € ;
16;U1,U2,U3,U4,U5;SOT-23-6L;5;WE-TVS Diode;Wurth;82400102;710-82400102;732-4473-1-ND; 0,74 € ; 3,70 € ; 0,74 € ; 3,70 € ;http://www.mouser.com/ds/2/445/82400102-372913.pdf
17;Y1;SMD 3225;1;12MHz;Diodes Incorporated;FL1200135;729-FL1200135;FL1200135 CT-ND; 0,72 € ; 0,72 € ; 0,59 € ; 0,59 € ;
18;D1,D2,D3,D4,D5;SMD 0805;5;LED;Kingbright;APT2012SGC;604-APT2012SGC;754-1131-1-ND; 0,07 € ; 0,36 € ; 0,33 € ; 1,65 € ;
19;Q1;SOT-23;1;MOSFET T1 60V PCH;ON Semiconductor;NVR5124PLT1G;863-NVR5124PLT1G;-; 0,37 € ; 0,37 € ;; -   € ;
;;;;MOSFET P-CH 60V 1.8A CPH3;ON Semiconductor;CPH3351-TL-W;-;CPH3351-TL-WOSCT-ND;; -   € ; 0,41 € ; -   € ;
20;J2,J3,J4,J5;3.2mm;4;Mounting Hole;;;;;;;;;
;;;;;;;;;Netto; 23,69 € ;; 22,64 € ;
;;;;;;;;;Brutto; 28,19 € ;; 26,94 € ;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
